Designator,Mid X,Mid Y,Rotation,Layer
D1,65.105,-106.905,270.0,top
D10,305.545,-105.985,270.0,top
D11,324.545,-105.985,270.0,top
D12,343.545,-105.985,270.0,top
D13,60.105,-124.905,270.0,top
D14,78.105,-124.905,270.0,top
D15,98.105,-124.905,270.0,top
D16,117.105,-124.905,270.0,top
D17,136.105,-124.905,270.0,top
D18,155.105,-124.905,270.0,top
D19,257.545,-125.335,270.0,top
D2,248.545,-105.985,270.0,top
D20,276.545,-125.335,270.0,top
D21,295.545,-125.335,270.0,top
D22,314.545,-125.335,270.0,top
D23,333.545,-125.335,270.0,top
D24,352.545,-125.335,270.0,top
D25,60.105,-143.905,270.0,top
D26,79.105,-143.905,270.0,top
D27,98.105,-143.905,270.0,top
D28,117.105,-143.905,270.0,top
D29,136.105,-143.905,270.0,top
D3,84.105,-106.905,270.0,top
D30,155.105,-143.905,270.0,top
D31,257.545,-144.335,270.0,top
D32,276.545,-144.335,270.0,top
D33,295.545,-144.335,270.0,top
D34,314.545,-144.335,270.0,top
D35,333.545,-144.335,270.0,top
D36,352.545,-144.335,270.0,top
D37,125.945,-162.905,270.0,top
D38,144.945,-162.905,270.0,top
D39,163.945,-162.905,270.0,top
D4,267.545,-105.985,270.0,top
D40,305.545,-163.335,270.0,top
D41,324.545,-163.335,270.0,top
D42,343.545,-163.335,270.0,top
D43,106.945,-162.905,270.0,top
D44,286.545,-163.335,270.0,top
D45,117.105,-181.905,270.0,top
D46,136.105,-181.905,270.0,top
D47,155.105,-181.905,270.0,top
D48,174.105,-181.905,270.0,top
D49,238.545,-181.985,270.0,top
D5,103.105,-106.905,270.0,top
D50,257.545,-181.985,270.0,top
D51,276.545,-181.985,270.0,top
D52,295.545,-181.985,270.0,top
D53,68.945,-162.905,270.0,top
D54,87.945,-162.905,270.0,top
D55,248.545,-163.335,270.0,top
D56,267.545,-163.335,270.0,top
D6,286.545,-105.985,270.0,top
D7,122.105,-106.905,270.0,top
D8,141.105,-106.905,270.0,top
D9,160.105,-106.905,270.0,top
GND1,204.105,-118.175,0.0,top
GND2,223.545,-114.125,180.0,top
H1,62.105,-115.095,0.0,top
H10,213.825,-150.385,90.0,top
H11,213.825,-110.385,90.0,top
H2,365.545,-159.175,180.0,top
H3,177.105,-137.095,0.0,top
H4,317.545,-178.175,180.0,top
H5,64.105,-161.095,0.0,top
H6,365.545,-115.175,180.0,top
H7,112.105,-180.095,0.0,top
H8,251.545,-136.175,180.0,top
H9,213.825,-179.385,90.0,top
SW1,74.155,-107.205,0.0,top
SW10,315.165,-106.285,0.0,top
SW11,334.215,-106.285,0.0,top
SW12,353.265,-106.285,0.0,top
SW13,69.075,-126.255,0.0,top
SW14,88.125,-126.255,0.0,top
SW15,107.175,-126.255,0.0,top
SW16,126.225,-126.255,0.0,top
SW17,145.275,-126.255,0.0,top
SW18,164.325,-126.255,0.0,top
SW19,266.905,-125.335,0.0,top
SW2,258.015,-106.285,0.0,top
SW20,285.955,-125.335,0.0,top
SW21,305.005,-125.335,0.0,top
SW22,324.055,-125.335,0.0,top
SW23,343.105,-125.335,0.0,top
SW24,362.155,-125.335,0.0,top
SW25,69.075,-145.305,0.0,top
SW26,88.125,-145.305,0.0,top
SW27,107.175,-145.305,0.0,top
SW28,126.225,-145.305,0.0,top
SW29,145.275,-145.305,0.0,top
SW3,93.205,-107.205,0.0,top
SW30,164.325,-145.305,0.0,top
SW31,266.905,-144.385,0.0,top
SW32,285.955,-144.385,0.0,top
SW33,305.005,-144.385,0.0,top
SW34,324.055,-144.385,0.0,top
SW35,343.105,-144.385,0.0,top
SW36,362.155,-144.385,0.0,top
SW37,135.115,-164.355,0.0,top
SW38,154.165,-164.355,0.0,top
SW39,173.215,-164.355,0.0,top
SW4,277.065,-106.285,0.0,top
SW40,315.165,-163.435,0.0,top
SW41,334.215,-163.435,0.0,top
SW42,353.265,-163.435,0.0,top
SW43,188.105,-109.095,90.0,top
SW44,233.325,-108.635,90.0,top
SW45,116.065,-164.355,0.0,top
SW46,296.115,-163.435,0.0,top
SW47,126.225,-183.405,0.0,top
SW48,145.275,-183.405,0.0,top
SW49,164.325,-183.405,0.0,top
SW5,112.255,-107.205,0.0,top
SW50,183.375,-183.405,0.0,top
SW51,247.855,-182.485,0.0,top
SW52,266.905,-182.485,0.0,top
SW53,285.955,-182.485,0.0,top
SW54,305.005,-182.485,0.0,top
SW55,77.965,-164.355,0.0,top
SW56,97.015,-164.355,0.0,top
SW57,258.015,-163.435,0.0,top
SW58,277.065,-163.435,0.0,top
SW6,296.115,-106.285,0.0,top
SW7,131.305,-107.205,0.0,top
SW8,150.355,-107.205,0.0,top
SW9,169.405,-107.205,0.0,top
U3,195.215,-150.15,0.0,top
U4,233.325,-149.42,0.0,bottom
VCC1,204.105,-112.635,0.0,top
VCC2,223.545,-118.175,180.0,top
