Designator,Mid X,Mid Y,Rotation,Layer
A1,172.11,-97.59,0.0,top
A2,207.61,-97.59,0.0,bottom
D1,45.5,-82.81,90.0,top
D10,100.0,-101.81,90.0,top
D11,119.0,-101.81,90.0,top
D12,138.0,-101.81,90.0,top
D13,43.0,-120.81,90.0,top
D14,62.0,-120.81,90.0,top
D15,81.0,-120.81,90.0,top
D16,100.0,-120.81,90.0,top
D17,119.0,-120.81,90.0,top
D18,138.0,-120.81,90.0,top
D19,45.0,-139.81,90.0,top
D2,64.0,-82.81,90.0,top
D20,64.5,-139.81,90.0,top
D21,83.5,-139.81,90.0,top
D22,102.5,-139.81,90.0,top
D23,121.5,-139.81,90.0,top
D24,140.5,-139.81,90.0,top
D25,81.0,-159.31,90.0,top
D26,100.0,-159.31,90.0,top
D27,119.0,-159.31,90.0,top
D28,138.0,-159.31,90.0,top
D29,224.0,-82.81,90.0,top
D3,83.5,-82.81,90.0,top
D30,243.0,-82.81,90.0,top
D31,262.0,-82.81,90.0,top
D32,281.0,-82.81,90.0,top
D33,300.0,-82.81,90.0,top
D34,319.0,-82.81,90.0,top
D35,226.0,-101.81,90.0,top
D36,245.0,-101.81,90.0,top
D37,264.0,-101.81,90.0,top
D38,283.0,-101.81,90.0,top
D39,302.0,-101.81,90.0,top
D4,102.0,-82.81,90.0,top
D40,321.0,-101.81,90.0,top
D41,226.0,-120.81,90.0,top
D42,245.0,-120.81,90.0,top
D43,264.0,-120.81,90.0,top
D44,283.0,-120.81,90.0,top
D45,302.0,-120.81,90.0,top
D46,321.0,-120.19,90.0,top
D47,224.0,-139.19,90.0,top
D48,243.0,-139.19,90.0,top
D49,262.0,-139.19,90.0,top
D5,121.5,-82.81,90.0,top
D50,281.0,-139.19,90.0,top
D51,300.0,-139.19,90.0,top
D52,319.0,-139.19,90.0,top
D53,226.0,-158.81,90.0,top
D54,245.0,-158.81,90.0,top
D55,264.0,-158.81,90.0,top
D56,283.0,-158.81,90.0,top
D6,140.5,-82.81,90.0,top
D7,43.0,-101.81,90.0,top
D8,61.5,-101.81,90.0,top
D9,81.0,-101.81,90.0,top
GND1,185.5,-99.0,0.0,top
GND2,194.78,-99.0,0.0,top
H10,190.5,-156.75,90.0,top
H11,190.5,-79.5,90.0,top
H3,76.0,-152.0,0.0,top
H4,307.0,-152.0,0.0,top
H5,45.0,-75.0,0.0,top
H6,338.0,-75.0,0.0,top
H7,181.5,-164.0,0.0,top
H8,199.0,-163.9,0.0,top
H9,190.5,-123.25,90.0,top
SW1,54.61,-79.19,0.0,top
SW10,109.22,-98.24,0.0,top
SW11,128.27,-98.24,0.0,top
SW12,147.32,-98.24,0.0,top
SW13,52.07,-117.29,0.0,top
SW14,71.12,-117.29,0.0,top
SW15,90.17,-117.29,0.0,top
SW16,109.22,-117.29,0.0,top
SW17,128.27,-117.29,0.0,top
SW18,147.32,-117.29,0.0,top
SW19,54.61,-136.34,0.0,top
SW2,73.66,-79.19,0.0,top
SW20,73.66,-136.34,0.0,top
SW21,92.71,-136.34,0.0,top
SW22,111.76,-136.34,0.0,top
SW23,130.81,-136.34,0.0,top
SW24,149.86,-136.34,0.0,top
SW25,90.17,-155.39,0.0,top
SW26,109.22,-155.39,0.0,top
SW27,128.27,-155.39,0.0,top
SW28,147.32,-155.39,0.0,top
SW29,232.81,-78.86,0.0,top
SW3,92.71,-79.19,0.0,top
SW30,251.86,-78.86,0.0,top
SW31,270.91,-78.86,0.0,top
SW32,289.96,-78.86,0.0,top
SW33,309.01,-78.86,0.0,top
SW34,328.06,-78.86,0.0,top
SW35,235.35,-97.91,0.0,top
SW36,254.4,-97.91,0.0,top
SW37,273.45,-97.91,0.0,top
SW38,292.5,-97.91,0.0,top
SW39,311.55,-97.91,0.0,top
SW4,111.76,-79.19,0.0,top
SW40,330.6,-97.91,0.0,top
SW41,235.35,-116.96,0.0,top
SW42,254.4,-116.96,0.0,top
SW43,273.45,-116.96,0.0,top
SW44,292.5,-116.96,0.0,top
SW45,311.55,-116.96,0.0,top
SW46,330.6,-116.96,0.0,top
SW47,232.81,-136.01,0.0,top
SW48,251.86,-136.01,0.0,top
SW49,270.91,-136.01,0.0,top
SW5,130.81,-79.19,0.0,top
SW50,289.96,-136.01,0.0,top
SW51,309.01,-136.01,0.0,top
SW52,328.06,-136.01,0.0,top
SW53,235.35,-155.06,0.0,top
SW54,254.4,-155.06,0.0,top
SW55,273.45,-155.06,0.0,top
SW56,292.5,-155.06,0.0,top
SW57,173.0,-147.0,270.0,top
SW58,208.0,-147.25,270.0,top
SW6,149.86,-79.19,0.0,top
SW7,52.07,-98.24,0.0,top
SW8,71.12,-98.24,0.0,top
SW9,90.17,-98.24,0.0,top
VCC1,185.5,-93.0,0.0,top
VCC2,194.78,-93.0,0.0,top
